region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1171053100,2026-05,,12880.47,11942.44,13550.49,0.88,
1171053200,2026-05,,16022.22,14081.99,17408.1,0.81,
1171054000,2026-05,,11460.78,9278.8,13019.33,0.71,
1171055000,2026-05,,12243.71,10944.66,13171.6,0.83,
1171056100,2026-05,,16519.27,17003.21,16173.59,1.05,
1171056200,2026-05,,38038.83,37217.34,38625.61,0.96,
1171056600,2026-05,,24096.82,27502.42,21664.25,1.27,
1171057000,2026-05,,34631.44,33099.73,35725.53,0.93,
1171058000,2026-05,,24827.77,23708.18,25627.48,0.93,
1171059000,2026-05,,18294.6,17048.63,19184.57,0.89,
1171060000,2026-05,,26513.7,25159.5,27480.98,0.92,
1171061000,2026-05,,27107.13,24352.64,29074.63,0.84,
1171062000,2026-05,,40071.6,40518.68,39752.27,1.02,
1171063100,2026-05,,27980.4,25298.82,29895.82,0.85,
1171063200,2026-05,,21499.76,20020.56,22556.34,0.89,
1171064100,2026-05,,21417.51,20219.17,22273.47,0.91,
1171064200,2026-05,,42111.22,51187.82,35627.93,1.44,
1171064600,2026-05,,30286.12,27891.02,31996.9,0.87,
1171064700,2026-05,,47695.58,42921.83,51105.41,0.84,
1171065000,2026-05,,33317.32,32422.52,33956.46,0.95,
1171067000,2026-05,,36508.66,36208.34,36723.17,0.99,
1171068000,2026-05,,47589.12,57515.22,40499.05,1.42,
1171069000,2026-05,,27391.88,22632.43,30791.49,0.74,
1171071000,2026-05,,38952.12,55321.56,27259.67,2.03,
1171072000,2026-05,,10612.94,11039.7,10308.12,1.07,
1174051500,2026-05,,47902.69,43184.49,51272.83,0.84,
1174052000,2026-05,,40884.34,37616.08,43218.81,0.87,
1174053000,2026-05,,23572.5,22338.76,24453.74,0.91,
1174054000,2026-05,,15340.82,15331.87,15347.21,1.0,
1174055000,2026-05,,23499.11,21212.07,25132.71,0.84,
1174056000,2026-05,,22268.15,22915.36,21805.86,1.05,
1174057000,2026-05,,28999.04,25344.74,31609.25,0.8,
1174058000,2026-05,,13686.29,12831.15,14297.11,0.9,
1174059000,2026-05,,16768.06,15297.53,17818.43,0.86,
1174060000,2026-05,,28607.78,26313.03,30246.88,0.87,
1174061000,2026-05,,44447.58,43021.0,45466.57,0.95,
1174062000,2026-05,,27233.69,24260.72,29357.24,0.83,
1174064000,2026-05,,21534.08,21374.35,21648.18,0.99,
1174065000,2026-05,,23984.11,22060.29,25358.27,0.87,
1174066000,2026-05,,27405.07,26270.42,28215.54,0.93,
1174068500,2026-05,,58963.69,56651.57,60615.2,0.93,
1174069000,2026-05,,27772.32,22554.89,31499.06,0.72,
1174070000,2026-05,,25369.77,24349.76,26098.35,0.93,
